authors;affiliation;location;NEP.AFR;NEP.ENV;NEP.DEV;sum_publi;country;city
Julien Albertini; Groupe d'Analyse et de Théorie Économique Lyon St-Étienne (GATE Lyon St-Étienne)Université de Lyon; Lyon, France;1;NA;2;80;France;Lyon
Kevin Victor Albertson; Business SchoolManchester Metropolitan University; Manchester, United Kingdom;NA;NA;NA;0;United Kingdom;Manchester
Facundo Albornoz; School of EconomicsUniversity of Nottingham; Nottingham, United Kingdom;NA;NA;1;116;United Kingdom;Nottingham
Michel Albouy; Grenoble École de Management; Grenoble, France;NA;NA;NA;0;France;Grenoble
Silvia Albrizio; Banco de España; Madrid, Spain;NA;2;NA;27;Spain;Madrid
Ahmed W Anwar; School of EconomicsUniversity of Edinburgh; Edinburgh, United Kingdom;NA;NA;1;8;United Kingdom;Edinburgh
Chowdhury Mohammad Sakib Anwar; Department of EconomicsManagement SchoolLancaster University; Lancaster, United Kingdom;NA;NA;NA;10;United Kingdom;Lancaster
Paulo Albuquerque; INSEAD; Fontainebleau, France;NA;NA;NA;7;France;Fontainebleau
Pedro H Albuquerque;(80%) Kedge Business School; Marseille / Bordeaux, France;NA;1;3;28;France;Marseille
Philippe Alby; Atelier de Recherche Quantitative Appliquée au Développement Économique (ARQADE)Toulouse School of Economics (TSE); Toulouse, France;2;NA;NA;7;France;Toulouse
Francisco Alcala;(95%) Instituto Valenciano de Investigaciones Económicas (IVIE); Valencia, Spain;NA;1;2;32;Spain;Valencia
Jose Alcalde;(98%) Instituto Universitario de Desarrollo Social y Paz (IUDESP)Universidad de Alicante; Alicante, Spain;NA;NA;NA;50;Spain;Alicante
Yu Aoki;(90%) Department of EconomicsUniversity of Aberdeen; Aberdeen, United Kingdom;NA;NA;NA;9;United Kingdom;Aberdeen
Jorge Alcalde-Unzu; Departamento de EconomíaUniversidad Pública de Navarra; Pamplona, Spain;NA;1;NA;14;Spain;Pamplona
Vicent Alcantara; Departament d'Economia AplicadaUniversitat Autònoma de Barcelona; Barcelona, Spain;NA;12;NA;28;Spain;Barcelona
Amal Aouadi; Centre Clermontois de Recherche en Gestion et Management (CRCGM); Clermont-Ferrand, France;NA;NA;NA;2;France;Clermont-Ferrand
Jose Carlos Rodriguez Alcantud;(50%) Facultad de Economía y EmpresaUniversidad de Salamanca; Salamanca, Spain;NA;NA;NA;22;Spain;Salamanca
Ali Abcha; EconomiXUniversité Paris-Nanterre (Paris X); Nanterre, France;NA;NA;NA;6;France;Nanterre
Marie Aouriri; Banque de France; Paris, France;NA;NA;NA;7;France;Paris
Francisco Alcaraz-Quiles; Facultad de Ciencias Económicas y EmpresarialesUniversidad de Granada; Granada, Spain;NA;NA;NA;0;Spain;Granada
Alejandro Alcay; Facultad de Economía y EmpresaUniversidad de Zaragoza; Zaragoza, Spain;NA;NA;NA;0;Spain;Zaragoza
Juan Aparicio; Centro de Investigación Operativa (CIO)Universidad Miguel Hernández; Elche, Spain;NA;1;NA;18;Spain;Elche
Lara Abdel Fattah; EconomiXUniversité Paris-Nanterre (Paris X); Nanterre, France;NA;NA;NA;10;France;Nanterre
Alain Alcouffe; Université Toulouse I Capitole (University of Toulouse); France, Toulouse;NA;NA;NA;30;France;Toulouse
Sebastian Aparicio;(80%) Facultat d'Economia i EmpresaUniversitat Autònoma de Barcelona; Barcelona, Spain;NA;NA;NA;0;Spain;Barcelona
Simon Alcouffe; Groupe ESC Toulouse; Toulouse, France;NA;1;NA;3;France;Toulouse
Pierre Aldama;(95%) Banque de France; Paris, France;NA;NA;NA;22;France;Paris
Covadonga Aldamiz-echevarria;(50%) Instituto de Economía Aplicada a la EmpresaUniversidad del País Vasco - Euskal Herriko Unibertsitatea; Bilbao, Spain;NA;NA;NA;0;Spain;Bilbao
Emmanuel Apergis; Business SchoolUniversity of Huddersfield; Huddersfield, United Kingdom;NA;NA;NA;0;United Kingdom;Huddersfield
Jose Apesteguia; Departament d'Economia i EmpresaUniversitat Pompeu FabraBarcelona School of Economics (BSE); Barcelona, Spain;NA;NA;NA;109;Spain;Barcelona
Joaquin Aldas;(50%) Instituto Valenciano de Investigaciones Económicas (IVIE); Valencia, Spain;NA;NA;NA;0;Spain;Valencia
Mohammed Abdellaoui; HEC Paris (École des Hautes Études Commerciales); Jouy-en-Josas, France;NA;NA;NA;7;France;Jouy-en-Josas
Hany Abdel-Latif;(50%) Economics DepartmentSchool of ManagementSwansea University; Swansea, United Kingdom;2;NA;1;16;United Kingdom;Swansea
Owain ap Gwilym; Bangor Business SchoolBangor University; Bangor, United Kingdom;NA;NA;NA;7;United Kingdom;Bangor
Rhys ap Gwilym; Bangor Business SchoolBangor University; Bangor, United Kingdom;NA;NA;NA;8;United Kingdom;Bangor
Alexandros Apostolakis; Economics and Finance GroupPortsmouth Business SchoolUniversity of Portsmouth; Portsmouth, United Kingdom;NA;NA;NA;0;United Kingdom;Portsmouth
Joseph Moussa Abdou;(90%) Paris School of Economics; Paris, France;NA;NA;NA;39;France;Paris
Benedicte Apouey; Paris School of Economics; Paris, France;8;4;7;110;France;Paris
Naaguesh Appadu; Faculty of FinanceBayes Business SchoolCity University; London, United Kingdom;NA;NA;NA;0;United Kingdom;London
Gildas Appere; Groupe de Recherche Angevin en Economie et Management (GRANEM)Faculté de Droit, Économie et GestionUniversité d'Angers; Angers, France;NA;NA;NA;0;France;Angers
Joaquin Alegre; Facultad de EconomíaUniversidad de València; València, Spain;NA;NA;NA;7;Spain;València
Guillermo Aleixandre; Departamento de Economía AplicadaFacultad de Ciencias Económicas y EmpresarialesUniversidad de Valladolid; Valladolid, Spain;NA;NA;NA;5;Spain;Valladolid
Francesco Paolo Appio; SKEMA Business School; Lille, France;NA;NA;NA;0;France;Lille
Alonso Alejandro; Comisión Nacional de EnergíaGovernment of Spain; Madrid, Spain;NA;NA;NA;0;Spain;Madrid
John Appleby; King's Fund; London, United Kingdom;NA;NA;NA;0;United Kingdom;London
Tommaso Aquilante;(99%) Bank of England; London, United Kingdom;NA;NA;NA;43;United Kingdom;London
Mariya Aleksynska; Organisation de Coopération et de Développement Économiques (OCDE); Paris, France;NA;NA;1;37;France;Paris
Christian Daniel Aleman Pericon; Unitat de Fonaments de l'Anàlisi EconòmicaDepartament d'Economia i Història EconòmicaUniversitat Autònoma de BarcelonaBarcelona School of Economics (BSE); Barcelona, Spain;NA;NA;NA;3;Spain;Barcelona
Luisa Alemany; ESADE Business SchoolUniversitat Ramon Llull; Barcelona, Spain;NA;NA;NA;0;Spain;Barcelona
M Jose Aracil; Facultad de Ciencias Económicas y EmpresarialesUniversidad de Sevilla; Sevilla, Spain;NA;NA;NA;0;Spain;Sevilla
Amadeo Alentorn; Centre For Computational Finance and Economic Agents (CCFEA)University of Essex; Colchester, United Kingdom;NA;NA;NA;6;United Kingdom;Colchester
Enriqueta Aragones; Institut d'Anàlisi Econòmica CSIC (IAE-CSIC)Barcelona School of Economics (BSE); Barcelona, Spain;NA;NA;NA;49;Spain;Barcelona
Alfredo Arahuetes; Facultad de Ciencias Económicas y EmpresarialesUniversidad Pontificia Comillas; Madrid, Spain;NA;NA;NA;0;Spain;Madrid
Amjad Ali Arain; Institut de Recherche sur l'Education: Sociologie et Économie de l'Éducation (IREDU)Université de Bourgogne; Dijon, France;NA;NA;NA;3;France;Dijon
Lucia Alessi; Joint Research CentreEuropean Commission; Sevilla, Spain;NA;2;NA;55;Spain;Sevilla
Miguel Aramendia;(50%) Departamento de Economía Aplicada IV (Matemáticas)Facultad de Economía y EmpresaUniversidad del País Vasco - Euskal Herriko Unibertsitatea; Bilbao, Spain;NA;NA;NA;0;Spain;Bilbao
Christos A Alexakis; École Supérieure de Commerce de Rennes; Rennes, France;NA;NA;NA;0;France;Rennes
Maria Elena Aramendia-Muneta; Departamento de Gestión de EmpresasUniversidad Pública de Navarra; Pamplona, Spain;NA;NA;NA;0;Spain;Pamplona
Philippe Abecassis; Centre d'Économie de l'Université Paris-Nord (CEPN)Université Paris-13; Paris, France;NA;NA;NA;2;France;Paris
Carol O Alexander; Department of Accounting and FinanceSussex Business SchoolUniversity of Sussex; Brighton, United Kingdom;NA;NA;NA;23;United Kingdom;Brighton
Jorge E AraA?a; Departamento de Análisis Económico AplicadoFacultad de Economía, Empresa y TurismoUniversidad de las Palmas de Gran Canaria; Las Palmas, Spain;NA;NA;NA;2;Spain;Las Palmas
Ian Alexander; Centre for Competition and Regulatory Policy (CCRP)Department of EconomicsCity University; London, United Kingdom;NA;NA;NA;6;United Kingdom;London
Saioa Arando Lasagabaster;"Mondragon Innovation & Knowledge (MIK S.coop)
Mondragon Unibertsitatea (Mondragon University)"; Oñati, Spain;NA;NA;NA;0;Spain;Oñati
Gary Abel; Primary Care Unit, University of Cambridge; United Kingdom, Cambridge;NA;NA;NA;0;United Kingdom;Cambridge
Javier Aranzadi; Departamento de Análisis Económico: Teoría Económica e Historia EconómicaFacultad de Ciencias Económicas y EmpresarialesUniversidad Autónoma de Madrid; Madrid, Spain;NA;NA;NA;0;Spain;Madrid
Johannes Abeler;(90%) Department of EconomicsOxford University; Oxford, United Kingdom;NA;NA;NA;57;United Kingdom;Oxford
HervAC Alexandre; Centre de Recherches sur la Gestion (CEREG)Dauphine Recherches en Management (DRM)Université Paris-Dauphine (Paris IX); Paris, France;NA;NA;NA;18;France;Paris
Jose-Maria Abellan-Perpinan; Facultad de Economía y EmpresaUniversidad de Murcia; Murcia, Spain;NA;NA;NA;18;Spain;Murcia
Claudio Eduardo Araujo; Centre d'Études et de Recherches sur le Développement International (CERDI)École d'ÉconomieUniversité Clermont Auvergne; Clermont-Ferrand, France;2;4;2;17;France;Clermont-Ferrand
Zineb Abidi; Équipe de Recherche sur l'Utilisation des Données Individuelles en lien avec la Théorie Économique (ERUDITE)Université Paris-Est; Créteil, France;NA;NA;NA;12;France;Créteil
Jens Abildtrup; Bureau d'Économie Théorique et Appliquée (BETA); Nancy/Strasbourg, France;NA;4;NA;14;France;Nancy
Isabel Abinzano; Departamento de Gestión de EmpresasUniversidad Pública de Navarra; Pamplona, Spain;NA;NA;NA;0;Spain;Pamplona
Gemma Abio; Centre d'Anàlisi Econòmica i de les Polítiques Socials (CAEPS)Facultat d'Economia i EmpresaUniversitat de Barcelona; Barcelona, Spain;NA;NA;NA;13;Spain;Barcelona
Sonia Araujo; Organisation de Coopération et de Développement Économiques (OCDE); Paris, France;NA;NA;NA;17;France;Paris
Simone Alfarano;(50%) Departament d'EconomiaUniversitat Jaume I; Castellón de la Plana, Spain;NA;NA;NA;101;Spain;Castellón de la Plana
Rossi Abi-Rafeh; Toulouse School of Economics (TSE); Toulouse, France;NA;NA;NA;0;France;Toulouse
Catherine Araujo Bonjean; Centre d'Études et de Recherches sur le Développement International (CERDI)École d'ÉconomieUniversité Clermont Auvergne; Clermont-Ferrand, France;5;4;2;22;France;Clermont-Ferrand
Sergio Rene Araujo Enciso; Joint Research CentreEuropean Commission; Sevilla, Spain;NA;NA;NA;13;Spain;Sevilla
Jose Antonio Alfaro; Facultad de Ciencias Económicas y EmpresarialesUniversidad de Navarra; Pamplona, Spain;NA;NA;NA;5;Spain;Pamplona
Josep-Maria Arauzo-Carod;(45%) Departament d'EconomiaFacultat de Ciències Econòmiques i EmpresarialsUniversitat Rovira I Virgili Tarragona; Reus, Spain;NA;NA;NA;82;Spain;Reus
Mamdouh Abdulaziz Saleh Al-Faryan; Economics and Finance GroupPortsmouth Business SchoolUniversity of Portsmouth; Portsmouth, United Kingdom;NA;NA;NA;0;United Kingdom;Portsmouth
Henry Aray; Departamento de Teoría e Historia EconómicaFacultad de Ciencias Económicas y EmpresarialesUniversidad de Granada; Granada, Spain;NA;NA;NA;15;Spain;Granada
Yann Algan; Department of EconomicsSciences économiquesSciences Po; Paris, France;NA;NA;4;237;France;Paris
Gerard Joseph Abou Jaoude; Centre for Global Health EconomicsInstitute of Global HealthUniversity College London (UCL); London, United Kingdom;NA;NA;NA;0;United Kingdom;London
Ingela Alger; Toulouse School of Economics (TSE); Toulouse, France;NA;NA;NA;146;France;Toulouse
Maite Alguacil;(50%) Departament d'EconomiaUniversitat Jaume I; Castellón de la Plana, Spain;NA;NA;NA;23;Spain;Castellón de la Plana
Hashem Elshafie Abouwafia; School of Finance and AccountingWestminster Business SchoolUniversity of Westminster; London, United Kingdom;NA;NA;NA;0;United Kingdom;London
Ana Arbiza; Departamento de Análisis Económico y Economía CuantitativaFacultad de Ciencias Económicas y EmpresarialesUniversidad Complutense de Madrid; Madrid, Spain;NA;NA;NA;0;Spain;Madrid
Ignacio Arbues; Instituto Nacional de Estadística (INE)Government of Spain; Madrid, Spain;NA;NA;NA;0;Spain;Madrid
Calin Arcalean; ESADE Business SchoolUniversitat Ramon Llull; Barcelona, Spain;NA;NA;NA;15;Spain;Barcelona
Abdul-Razak Alhassan;(50%) Business SchoolBirmingham City University; Birmingham, United Kingdom;NA;NA;NA;0;United Kingdom;Birmingham
Oscar Arce; Banco de España; Madrid, Spain;NA;NA;NA;48;Spain;Madrid
Fawaz Baddar ALHussan; IESEG School of ManagementUniversité Catholique de Lille; Lille, France;NA;NA;NA;0;France;Lille
Rosa Arce; Centro de Investigación del Transporte (TRANSYT)Universidad Politécnica de Madrid; Madrid, Spain;NA;NA;NA;0;Spain;Madrid
Abdilahi Ali;(50%) Salford Business SchoolUniversity of Salford; Manchester, United Kingdom;1;NA;3;23;United Kingdom;Manchester
Laura Abramovsky;(70%) Institute for Fiscal Studies (IFS); London, United Kingdom;NA;NA;5;65;United Kingdom;London
Edith Jeanne Archambault; Modélisations Appliquées, Trajectoires Institutionnelles, Stratégies Socio-Économiques (MATISSE)Centre d'Économie de la SorbonneUniversité Paris 1 (Panthéon-Sorbonne); Paris, France;NA;NA;NA;12;France;Paris
Amjad Ali;(50%) European School of Administration and Management (ESAM); Paris/Lyon, France;NA;16;1;112;France;Paris
Alexandre Abreu; Department of EconomicsSchool of Oriental and African Studies (SOAS); London, United Kingdom;NA;NA;NA;0;United Kingdom;London
Luis Abreu; École Doctorale de Sciences ÉconomiquesToulouse School of Economics (TSE); Toulouse, France;NA;NA;NA;6;France;Toulouse
Angel Arcos; Departamento de Organización Industrial y Gestión de Empresas IEscuela de IngeneriosUniversidad de Sevilla; Sevilla, Spain;NA;NA;NA;0;Spain;Sevilla
Giuseppe Arcuri; Pôle de Recherche Interdisciplinaire en Management (PRISM)Université Paris 1 (Panthéon-Sorbonne); Paris, France;NA;NA;NA;8;France;Paris
Luisa Fernanda Abreu Sernandez; Departamento de Economía AplicadaFacultade de Ciencias Económicas e EmpresariaisUniversidade de Vigo; Vigo, Spain;NA;NA;NA;0;Spain;Vigo
Nabil Ali; Department for Education (DfE); United Kingdom, London;NA;NA;NA;5;United Kingdom;London
Noura H Abu Asab;(50%) Department of EconomicsUniversity of Sheffield; Sheffield, United Kingdom;NA;NA;NA;6;United Kingdom;Sheffield
Francisco Jose Areal; Centre for Rural EconomyNewcastle University; Newcastle upon Tyne, United Kingdom;NA;3;1;19;United Kingdom;Newcastle upon Tyne
Ramses H Abul Naga; Department of EconomicsUniversity of Aberdeen; Aberdeen, United Kingdom;NA;NA;NA;23;United Kingdom;Aberdeen
F Alfonso Arellano;(50%) BBVA ResearchGrupo BBVA; Madrid, Spain;NA;NA;NA;17;Spain;Madrid
Manuel Arellano; Centro de Estudios Monetarios y Financieros (CEMFI); Madrid, Spain;NA;NA;NA;42;Spain;Madrid
Lise Arena; Groupe de REcherche en Droit, Économie, Gestion (GREDEG)Institut Supérieur d'Économie et Management (ISEM)Université de Nice-Sophia Antipolis; Nice, France;NA;NA;NA;4;France;Nice
Richard Arena; Groupe de REcherche en Droit, Économie, Gestion (GREDEG)Institut Supérieur d'Économie et Management (ISEM)Université de Nice-Sophia Antipolis; Nice, France;NA;NA;NA;24;France;Nice
Alberto Sr Arenal;(88%) Departamento de Ingenería de la Organización, Administración de Empresas y EstadísticaUniversidad Politécnica de Madrid; Madrid, Spain;NA;NA;NA;3;Spain;Madrid
Mohammad Abu-Zaineh; École d'Économie d'Aix-MarseilleAix-Marseille Université; Aix-en-Provence/Marseille, France;NA;NA;NA;9;France;Aix-en-Provence
Andreu Arenas; Institut d'Economia de Barcelona (IEB)Facultat d'Economia i EmpresaUniversitat de Barcelona; Barcelona, Spain;NA;NA;NA;8;Spain;Barcelona
Edoardo Maria Acabbi; Departamento de Economía de la EmpresaUniversidad Carlos III de Madrid; Madrid, Spain;NA;NA;NA;2;Spain;Madrid
Guillermo Arenas Diaz; Instituto de Analisis Industrial y Financiero (IAIF)Facultad de Ciencias Económicas y EmpresarialesUniversidad Complutense de Madrid; Madrid, Spain;NA;NA;NA;0;Spain;Madrid
Marta Arespa Castello;(98%) Departament de Teoria EconómicaFacultat d'Economia i EmpresaUniversitat de Barcelona; Barcelona, Spain;NA;NA;NA;10;Spain;Barcelona
Delali Accolley; Faculté des Sciences Économiques et du DroitUniversité du Maine; Le Mans, France;NA;NA;NA;16;France;Le Mans
Philip Arestis;(90%) Department of Land EconomyUniversity of Cambridge; Cambridge, United Kingdom;NA;NA;3;120;United Kingdom;Cambridge
Olivier Accominotti; Department of Economic HistoryLondon School of Economics (LSE); London, United Kingdom;NA;NA;NA;53;United Kingdom;London
Raquel Arevalo; Research Group in Economics, Energy and the Environment (REDE)Facultade de Ciencias Económicas e EmpresariaisUniversidade de Vigo; Vigo, Spain;NA;NA;NA;4;Spain;Vigo
Jose Valeriano Frias Sr Aceituno; Facultad de Ciencias Económicas y EmpresarialesUniversidad de Granada; Granada, Spain;NA;NA;NA;0;Spain;Granada
Nabila Arfaoui; Groupe de REcherche en Droit, Économie, Gestion (GREDEG)Institut Supérieur d'Économie et Management (ISEM)Université de Nice-Sophia Antipolis; Nice, France;NA;1;NA;7;France;Nice
Antonio Argandona; IESE Business SchoolUniversidad de Navarra; Barcelona, Spain;NA;NA;NA;41;Spain;Barcelona
Maria Teresa Aceytuno; Departamento de EconomíaUniversidad de Huelva; Huelva, Spain;NA;NA;NA;0;Spain;Huelva
Virginia Lee Acha; Business SchoolImperial College; London, United Kingdom;NA;NA;NA;3;United Kingdom;London
Eva Argente Linares; Facultad de Ciencias Económicas y EmpresarialesUniversidad de Granada; Granada, Spain;NA;NA;NA;0;Spain;Granada
Mohamed Akli Achabou; Institut de Préparation à l'Administration et à la Gestion (IPAG); Paris, France;NA;3;NA;8;France;Paris
Amir H Alizadeh; Faculty of FinanceBayes Business SchoolCity University; London, United Kingdom;NA;NA;NA;0;United Kingdom;London
Rossella Argenziano; Economics DepartmentUniversity of Essex; Colchester, United Kingdom;NA;NA;NA;13;United Kingdom;Colchester
Isabel Argimon; Banco de España; Madrid, Spain;NA;NA;NA;44;Spain;Madrid
Carmen Arguedas; Departamento de Análisis Económico: Teoría Económica e Historia EconómicaFacultad de Ciencias Económicas y EmpresarialesUniversidad Autónoma de Madrid; Madrid, Spain;NA;8;NA;37;Spain;Madrid
Fadi Alkaraan; Lincoln Business SchoolUniversity of Lincoln; Lincoln, United Kingdom;NA;NA;NA;0;United Kingdom;Lincoln
Theophilus Acheampong; Department of EconomicsUniversity of Aberdeen; Aberdeen, United Kingdom;1;NA;NA;4;United Kingdom;Aberdeen
Alaa Al Khourdajie; EconomicsImperial College; London, United Kingdom;NA;1;NA;4;United Kingdom;London
Sabina Alkire;(98%) Department of International Development (Queen Elizabeth House)Oxford University; Oxford, United Kingdom;1;NA;7;43;United Kingdom;Oxford
Carlos Arias;(80%) Departamento de Economía y EstadísticaUniversidad de León; León, Spain;NA;1;NA;4;Spain;León
Marie-Laure Allain; Centre de Recherche en Économie et Statistique (CREST); Palaiseau, France;NA;NA;NA;65;France;Palaiseau
Olivier Allain;(50%) Centre d'Économie de la SorbonneUniversité Paris 1 (Panthéon-Sorbonne); Paris, France;NA;NA;NA;19;France;Paris
Dorothee Allain-Dupre; Public Governance and Territorial Development DirectorateOrganisation de Coopération et de Développement Économiques (OCDE); Paris, France;NA;NA;NA;0;France;Paris
Olivier Allais; Alimentation et Sciences Sociales (ALISS)Département ECOSOCIO - Économie et Sciences Sociales pour l'Agriculture, l'Alimentation et l'Environnement (SAE2)Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement (INRAE); Ivry, France;NA;NA;NA;10;France;Ivry
Grant Jordan Allan; Economics DepartmentUniversity of Strathclyde; Glasgow, United Kingdom;NA;10;NA;53;United Kingdom;Glasgow
Stephen Allan; Personal Social Services Research Unit (PSSRU); Canterbury, United Kingdom;NA;NA;NA;0;United Kingdom;Canterbury
Carolina Achury; Business SchoolUniversity of Exeter; Exeter, United Kingdom;NA;NA;NA;0;United Kingdom;Exeter
Paul Allanson; Department of Economics StudiesUniversity of Dundee; Dundee, United Kingdom;NA;NA;NA;18;United Kingdom;Dundee
Xose Carlos Arias Moreira; Departamento de Economía AplicadaFacultade de Ciencias Económicas e EmpresariaisUniversidade de Vigo; Vigo, Spain;NA;NA;NA;0;Spain;Vigo
Guillaume Allegre; Centre de recherche en Économie (OFCE)Sciences économiquesSciences Po; Paris, France;NA;2;NA;37;France;Paris
Jean-Pierre Allegret;(50%) Groupe de REcherche en Droit, Économie, Gestion (GREDEG)Institut Supérieur d'Économie et Management (ISEM)Université de Nice-Sophia Antipolis; Nice, France;NA;NA;NA;61;France;Nice
Fabio R Arico ; School of EconomicsUniversity of East Anglia; Norwich, United Kingdom;NA;NA;NA;3;United Kingdom;Norwich
Franklin Allen; Business SchoolImperial College; London, United Kingdom;4;NA;5;125;United Kingdom;London
Matthew Allen; Alliance Manchester Business SchoolUniversity of Manchester; Manchester, United Kingdom;NA;NA;NA;0;United Kingdom;Manchester
Rebecca Allen; Social Research InstituteInstitute of EducationUniversity College London (UCL); London, United Kingdom;1;NA;NA;34;United Kingdom;London
Manuel Acosta; Departamento de Economía GeneralUniversidad de Cádiz; Cádiz, Spain;NA;NA;NA;14;Spain;Cádiz
Thomas Eugene Allen; Banque de France; Paris, France;2;5;2;24;France;Paris
William Anthony Allen; National Institute of Economic and Social Research (NIESR); London, United Kingdom;NA;NA;NA;32;United Kingdom;London
Carlos Aller; Departamento de Teoría e Historia EconómicaFacultad de Ciencias Económicas y EmpresarialesUniversidad de Granada; Granada, Spain;NA;NA;NA;0;Spain;Granada
Yakup Eser Arisoy; Neoma Business School; Rouen/Reims, France;NA;NA;NA;4;France;Rouen
Oihana Aristondo; Bilbao Research in Decisions, Games and Economics (BRiDGE)Facultad de Economía y EmpresaUniversidad del País Vasco - Euskal Herriko Unibertsitatea; Bilbao, Spain;NA;NA;NA;0;Spain;Bilbao
Caroline Allonier; Institut de Recherche et Documentation en Économie de la Santé (IRDES); Paris, France;NA;NA;NA;2;France;Paris
Nizar Allouch; School of EconomicsUniversity of Kent; Canterbury, United Kingdom;NA;NA;NA;73;United Kingdom;Canterbury
Veronica Acurio Vasconez;(50%) Unité de Formation et de Recherche Droit, Sciences Économiques et GestionUniversité de Lorraine; Nancy, France;NA;NA;NA;43;France;Nancy
Mario Alloza; Banco de España; Madrid, Spain;NA;NA;NA;46;Spain;Madrid
Philippe Adair; Équipe de Recherche sur l'Utilisation des Données Individuelles en lien avec la Théorie Économique (ERUDITE)Université Paris-Est; Créteil, France;NA;NA;NA;59;France;Créteil
Muge Adalet; Economics DepartmentOrganisation de Coopération et de Développement Économiques (OCDE); Paris, France;NA;NA;NA;60;France;Paris
Christopher Adam;(75%) Department of International Development (Queen Elizabeth House)Oxford University; Oxford, United Kingdom;8;1;2;41;United Kingdom;Oxford
Dmitry Arkhangelsky; Centro de Estudios Monetarios y Financieros (CEMFI); Madrid, Spain;NA;NA;NA;9;Spain;Madrid
Lionel Almeida; Département Économie, Finance, Assurance, Banque (EFAB)Conservatoire National des Arts et Métiers (CNAM); Paris, France;NA;NA;NA;0;France;Paris
Vanda Almeida; Joint Research CentreEuropean Commission; Sevilla, Spain;NA;NA;NA;22;Spain;Sevilla
Abi Adams;(80%) Department of EconomicsOxford University; Oxford, United Kingdom;NA;NA;NA;9;United Kingdom;Oxford
Carol Alison Adams;(60%) Business SchoolDurham University; Durham, United Kingdom;NA;NA;NA;0;United Kingdom;Durham
Christian Almer; Department of EconomicsUniversity of Bath; Bath, United Kingdom;2;2;1;7;United Kingdom;Bath
